2025-11-17 17:49:53.574 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2025-11-17 17:55:30.639 [main] WARN  o.f.c.i.s.DefaultSqlScriptExecutor - DB: Unknown table 'tagtag-v2.iam_user' (SQL State: 42S02 - Error Code: 1051)
2025-11-17 17:55:30.641 [main] WARN  o.f.c.i.s.DefaultSqlScriptExecutor - DB: Unknown table 'tagtag-v2.iam_role' (SQL State: 42S02 - Error Code: 1051)
2025-11-17 17:55:30.644 [main] WARN  o.f.c.i.s.DefaultSqlScriptExecutor - DB: Unknown table 'tagtag-v2.iam_menu' (SQL State: 42S02 - Error Code: 1051)
2025-11-17 17:55:30.646 [main] WARN  o.f.c.i.s.DefaultSqlScriptExecutor - DB: Unknown table 'tagtag-v2.iam_dept' (SQL State: 42S02 - Error Code: 1051)
2025-11-17 17:55:31.063 [main] INFO  o.f.core.internal.command.DbMigrate - Migrating schema `tagtag-v2` to version "2 - seed"
2025-11-17 17:55:31.107 [main] INFO  o.f.core.internal.command.DbMigrate - Successfully applied 2 migrations to schema `tagtag-v2`, now at version v2 (execution time 00:00.459s)
2025-11-17 17:55:31.113 [main] WARN  o.s.c.events.SpringDocAppInitializer - SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2025-11-17 17:55:31.114 [main] WARN  o.s.c.events.SpringDocAppInitializer - SpringDoc /swagger-ui endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2025-11-17 17:55:35.841 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-11-17 17:55:35.841 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-11-17 17:55:35.842 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-11-17 17:56:08.324 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-11-17 17:56:08.354 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-11-17 17:56:08.361 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource start closing ....
2025-11-17 17:56:08.363 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown initiated...
2025-11-17 17:56:08.367 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown completed.
2025-11-17 17:56:08.367 [SpringApplicationShutdownHook] INFO  c.b.d.d.d.DefaultDataSourceDestroyer - dynamic-datasource close the datasource named [master] success,
2025-11-17 17:56:08.367 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
